Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count,MCH_Parameters
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania africana,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Ranunculales,Circaeasteraceae,Kingdonia uniflora,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,394,"x=10, e=500, c=1"
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces dobzhanskii,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces lactis,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces marxianus,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Animalia,Chordata,Mammalia,Artiodactyla,Physeteridae,Kogia breviceps,Complete,Dfam,,Curated Dfam,Dfam,27,
Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Kurtia argillacea,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella botswanensis,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Kwoniella europaea,Complete,RM2+MCH,,B-GUT,RM2+MCH,1,"x=0, e=500, c=1"
Animalia,Chordata,Actinopteri,Labriformes,Labridae,Labrus bergylta,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,54,"x=10, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria amethystina,Complete,RM2+MCH,,B-GUT,RM2+MCH,18,"x=0, e=500, c=1"
